calinski_harabasz,dataset,davies_bouldin,dim,k,method,reduction,seed,silhouette,subset
168.58197,V_new,2.439864546232974,100,60,all3,pca,44,0.089454815,fixed_6000
92038.66,V_new,0.9334968990352209,100,60,all3,umap,44,0.39508334,fixed_6000
107.37612,V_new,3.064210685471499,2048,60,all3,raw,55,0.056131687,fixed_6000
169.76883,V_new,2.482615736407383,100,60,all3,pca,55,0.09311977,fixed_6000
89522.35,V_new,0.9531791970364574,100,60,all3,umap,55,0.39518255,fixed_6000
28381.965,V_new,1.0991771182556176,50,20,all3,umap,11,0.8144845,exact_dedup_clean
71283.91,V_new,0.5281201124140873,50,60,all3,umap,11,0.5542975,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,all3,umap,11,0.7912705,exact_dedup_clean
54727.64,V_new,0.39930932184714346,100,60,all3,umap,11,0.5886709,exact_dedup_clean
20621.42,V_new,1.1499570991028996,200,20,all3,umap,11,0.7981944,exact_dedup_clean
47644.68,V_new,0.4132805946233315,200,60,all3,umap,11,0.6322501,exact_dedup_clean
28381.965,V_new,1.0991771182556176,50,20,all3,umap,11,0.8144845,exact_dedup_clean
27719.436,V_new,1.1340483463119766,50,20,all3,umap,22,0.799884,exact_dedup_clean
32683.814,V_new,1.0946606648414534,50,20,all3,umap,33,0.8071284,exact_dedup_clean
36832.93,V_new,0.6134788235256942,50,20,all3,umap,44,0.80471295,exact_dedup_clean
25683.736,V_new,1.0671569541896384,50,20,all3,umap,55,0.7901224,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,all3,umap,11,0.7912705,exact_dedup_clean
21830.83,V_new,1.129909094278119,100,20,all3,umap,22,0.8065413,exact_dedup_clean
27937.846,V_new,1.1890812511236892,100,20,all3,umap,33,0.80071205,exact_dedup_clean
28520.83,V_new,0.6657030087851423,100,20,all3,umap,44,0.8141326,exact_dedup_clean
20868.783,V_new,1.2210368782859766,100,20,all3,umap,55,0.8202227,exact_dedup_clean
54727.64,V_new,0.39930932184714346,100,60,all3,umap,11,0.5886709,exact_dedup_clean
58029.7,V_new,0.4111126203408402,100,60,all3,umap,22,0.58293134,exact_dedup_clean
62953.168,V_new,0.5289532071819864,100,60,all3,umap,33,0.52493703,exact_dedup_clean
62668.63,V_new,0.4182041440109541,100,60,all3,umap,44,0.5556543,exact_dedup_clean
52827.734,V_new,0.36526747593144193,100,60,all3,umap,55,0.61052936,exact_dedup_clean
20621.42,V_new,1.1499570991028996,200,20,all3,umap,11,0.7981944,exact_dedup_clean
21115.938,V_new,1.198451885268472,200,20,all3,umap,22,0.79057324,exact_dedup_clean
28270.924,V_new,1.1643718624967105,200,20,all3,umap,33,0.79746705,exact_dedup_clean
26645.5,V_new,0.7656736447434414,200,20,all3,umap,44,0.801615,exact_dedup_clean
19525.375,V_new,1.1286183034453756,200,20,all3,umap,55,0.7526963,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,all3,umap,11,0.48728475,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,any2,umap,11,0.48728475,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,kmeans,umap,11,0.48728475,exact_dedup_clean
54849.637,M_new,0.7911893507232562,100,60,birch,umap,11,0.45720297,exact_dedup_clean
59387.38,M_new,0.8253594318807806,100,60,agg,umap,11,0.44528335,exact_dedup_clean
61987.07,M_new,0.8106285180072906,100,60,all3,umap,22,0.44730216,exact_dedup_clean
61987.07,M_new,0.8106285180072906,100,60,any2,umap,22,0.44730216,exact_dedup_clean
61987.07,M_new,0.8106285180072906,100,60,kmeans,umap,22,0.44730216,exact_dedup_clean
54208.082,M_new,0.8446051661314908,100,60,birch,umap,22,0.45220298,exact_dedup_clean
60144.832,M_new,0.7955767236927007,100,60,agg,umap,22,0.4472854,exact_dedup_clean
62699.742,M_new,0.8202143629406622,100,60,all3,umap,33,0.45534235,exact_dedup_clean
62699.742,M_new,0.8202143629406622,100,60,any2,umap,33,0.45534235,exact_dedup_clean
62699.742,M_new,0.8202143629406622,100,60,kmeans,umap,33,0.45534235,exact_dedup_clean
57558.953,M_new,0.8186836276058952,100,60,birch,umap,33,0.45426285,exact_dedup_clean
62054.113,M_new,0.8161659039717601,100,60,agg,umap,33,0.44615248,exact_dedup_clean
59644.535,M_new,0.8291481594188611,100,60,all3,umap,44,0.45219663,exact_dedup_clean
59644.535,M_new,0.8291481594188611,100,60,any2,umap,44,0.45219663,exact_dedup_clean
59644.535,M_new,0.8291481594188611,100,60,kmeans,umap,44,0.45219663,exact_dedup_clean
54524.934,M_new,0.8497503869494942,100,60,birch,umap,44,0.44167805,exact_dedup_clean
58516.855,M_new,0.8244730178669794,100,60,agg,umap,44,0.43920785,exact_dedup_clean
64112.61,M_new,0.8419054681176906,100,60,all3,umap,55,0.4352369,exact_dedup_clean
64112.61,M_new,0.8419054681176906,100,60,any2,umap,55,0.4352369,exact_dedup_clean
64112.61,M_new,0.8419054681176906,100,60,kmeans,umap,55,0.4352369,exact_dedup_clean
58458.695,M_new,0.8241617604442816,100,60,birch,umap,55,0.46899027,exact_dedup_clean
62867.41,M_new,0.8126941609510041,100,60,agg,umap,55,0.4385852,exact_dedup_clean
102.71481,M_new,2.771362269164774,2048,60,all3,raw,11,0.0762329,full_clean
178.06876,M_new,2.2503962465901095,100,60,all3,pca,11,0.10975855,full_clean
61177.055,M_new,0.7805032436922507,100,60,all3,umap,11,0.48728475,full_clean
101.824005,M_new,2.8400863101708307,2048,60,all3,raw,22,0.07081729,full_clean
178.77385,M_new,2.221592864223253,100,60,all3,pca,22,0.117280394,full_clean
61987.07,M_new,0.8106285180072906,100,60,all3,umap,22,0.44730216,full_clean
101.65157,M_new,2.7952287984090773,2048,60,all3,raw,33,0.070183255,full_clean
177.33755,M_new,2.29157322533748,100,60,all3,pca,33,0.11146894,full_clean
62699.742,M_new,0.8202143629406622,100,60,all3,umap,33,0.45534235,full_clean
102.166336,M_new,2.8153990759265426,2048,60,all3,raw,44,0.0770002,full_clean
178.63435,M_new,2.1814814444667876,100,60,all3,pca,44,0.11689179,full_clean
59644.535,M_new,0.8291481594188611,100,60,all3,umap,44,0.45219663,full_clean
102.107155,M_new,2.812884406352073,2048,60,all3,raw,55,0.0713854,full_clean
178.30975,M_new,2.201009471967614,100,60,all3,pca,55,0.11656966,full_clean
64112.61,M_new,0.8419054681176906,100,60,all3,umap,55,0.4352369,full_clean
50397.438,M_new,0.6113589698746866,50,20,all3,umap,11,0.6027267,exact_dedup_clean
64052.773,M_new,0.7996210887329408,50,60,all3,umap,11,0.46356848,exact_dedup_clean
49886.43,M_new,0.5720812961326346,100,20,all3,umap,11,0.60386086,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,all3,umap,11,0.48728475,exact_dedup_clean
51450.34,M_new,0.5974810546521268,200,20,all3,umap,11,0.61181384,exact_dedup_clean
60545.883,M_new,0.7784724141055951,200,60,all3,umap,11,0.45899785,exact_dedup_clean
50397.438,M_new,0.6113589698746866,50,20,all3,umap,11,0.6027267,exact_dedup_clean
53525.18,M_new,0.5946017827151855,50,20,all3,umap,22,0.6071621,exact_dedup_clean
50375.082,M_new,0.5743283060139436,50,20,all3,umap,33,0.6277544,exact_dedup_clean
53850.9,M_new,0.590978191330179,50,20,all3,umap,44,0.6019274,exact_dedup_clean
50530.508,M_new,0.6048334308225785,50,20,all3,umap,55,0.59847933,exact_dedup_clean
49886.43,M_new,0.5720812961326346,100,20,all3,umap,11,0.60386086,exact_dedup_clean
51542.79,M_new,0.6467219896184838,100,20,all3,umap,22,0.5876918,exact_dedup_clean
54349.293,M_new,0.6195113157557564,100,20,all3,umap,33,0.5912796,exact_dedup_clean
51290.28,M_new,0.5994906968984052,100,20,all3,umap,44,0.6022936,exact_dedup_clean
53523.062,M_new,0.6590722898390802,100,20,all3,umap,55,0.5755179,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,all3,umap,11,0.48728475,exact_dedup_clean
61987.07,M_new,0.8106285180072906,100,60,all3,umap,22,0.44730216,exact_dedup_clean
62699.742,M_new,0.8202143629406622,100,60,all3,umap,33,0.45534235,exact_dedup_clean
59644.535,M_new,0.8291481594188611,100,60,all3,umap,44,0.45219663,exact_dedup_clean
64112.61,M_new,0.8419054681176906,100,60,all3,umap,55,0.4352369,exact_dedup_clean
51450.34,M_new,0.5974810546521268,200,20,all3,umap,11,0.61181384,exact_dedup_clean
52718.316,M_new,0.6105566861747782,200,20,all3,umap,22,0.6079274,exact_dedup_clean
51519.1,M_new,0.6232533578447912,200,20,all3,umap,33,0.5928312,exact_dedup_clean
52480.03,M_new,0.5937268671944994,200,20,all3,umap,44,0.6050044,exact_dedup_clean
50706.78,M_new,0.6280538315542865,200,20,all3,umap,55,0.5983225,exact_dedup_clean
54684.46,G_new,0.8971115579739433,100,60,all3,umap,11,0.41921082,exact_dedup_clean
54684.46,G_new,0.8971115579739433,100,60,any2,umap,11,0.41921082,exact_dedup_clean
54684.46,G_new,0.8971115579739433,100,60,kmeans,umap,11,0.41921082,exact_dedup_clean
45064.68,G_new,0.9407264672731226,100,60,birch,umap,11,0.38025334,exact_dedup_clean
50682.54,G_new,0.8888580850467386,100,60,agg,umap,11,0.39625418,exact_dedup_clean
53139.71,G_new,0.8623314025798312,100,60,all3,umap,22,0.42617008,exact_dedup_clean
53139.71,G_new,0.8623314025798312,100,60,any2,umap,22,0.42617008,exact_dedup_clean
53139.71,G_new,0.8623314025798312,100,60,kmeans,umap,22,0.42617008,exact_dedup_clean
42908.01,G_new,0.9811189243107854,100,60,birch,umap,22,0.3796387,exact_dedup_clean
48936.188,G_new,0.8920726673322681,100,60,agg,umap,22,0.40374735,exact_dedup_clean
54160.535,G_new,0.8822518051308204,100,60,all3,umap,33,0.40955812,exact_dedup_clean
54160.535,G_new,0.8822518051308204,100,60,any2,umap,33,0.40955812,exact_dedup_clean
54160.535,G_new,0.8822518051308204,100,60,kmeans,umap,33,0.40955812,exact_dedup_clean
44533.273,G_new,0.9663895226308686,100,60,birch,umap,33,0.3913994,exact_dedup_clean
51144.254,G_new,0.8721479270772783,100,60,agg,umap,33,0.39873233,exact_dedup_clean
53921.367,G_new,0.8769584502103726,100,60,all3,umap,44,0.42226234,exact_dedup_clean
53921.367,G_new,0.8769584502103726,100,60,any2,umap,44,0.42226234,exact_dedup_clean
53921.367,G_new,0.8769584502103726,100,60,kmeans,umap,44,0.42226234,exact_dedup_clean
44844.152,G_new,0.9420723983516728,100,60,birch,umap,44,0.39913866,exact_dedup_clean
51328.785,G_new,0.876650772465167,100,60,agg,umap,44,0.40490454,exact_dedup_clean
54747.797,G_new,0.8710518397259643,100,60,all3,umap,55,0.41982698,exact_dedup_clean
54747.797,G_new,0.8710518397259643,100,60,any2,umap,55,0.41982698,exact_dedup_clean
54747.797,G_new,0.8710518397259643,100,60,kmeans,umap,55,0.41982698,exact_dedup_clean
43755.523,G_new,0.969755506170954,100,60,birch,umap,55,0.37483802,exact_dedup_clean
50863.63,G_new,0.8867640267243834,100,60,agg,umap,55,0.393305,exact_dedup_clean
90.8866,G_new,2.708594036158856,2048,60,all3,raw,11,0.059425224,full_clean
136.02199,G_new,2.252651859351142,100,60,all3,pca,11,0.094157025,full_clean
54684.46,G_new,0.8971115579739433,100,60,all3,umap,11,0.41921082,full_clean
91.33249,G_new,2.748015412736172,2048,60,all3,raw,22,0.059184153,full_clean
136.96297,G_new,2.2513739234884746,100,60,all3,pca,22,0.095469765,full_clean
53139.71,G_new,0.8623314025798312,100,60,all3,umap,22,0.42617008,full_clean
91.40551,G_new,2.7079593128900132,2048,60,all3,raw,33,0.062513314,full_clean
135.80008,G_new,2.270269711515002,100,60,all3,pca,33,0.09629466,full_clean
54160.535,G_new,0.8822518051308204,100,60,all3,umap,33,0.40955812,full_clean
91.36332,G_new,2.7233164413365576,2048,60,all3,raw,44,0.06277298,full_clean
135.99857,G_new,2.3186744710416325,100,60,all3,pca,44,0.09514425,full_clean
53921.367,G_new,0.8769584502103726,100,60,all3,umap,44,0.42226234,full_clean
91.28802,G_new,2.735254321792763,2048,60,all3,raw,55,0.06299352,full_clean
137.16214,G_new,2.269463207947052,100,60,all3,pca,55,0.09573269,full_clean
54747.797,G_new,0.8710518397259643,100,60,all3,umap,55,0.41982698,full_clean
51485.76,G_new,0.7760609336320179,50,20,all3,umap,11,0.49128476,exact_dedup_clean
54725.18,G_new,0.8824034914352409,50,60,all3,umap,11,0.42635506,exact_dedup_clean
