acc_kept_mean,acc_kept_std,coverage_mean,coverage_std,rejection_rate_mean,rejection_rate_std,conservative_accuracy_mean,conservative_accuracy_std,ari_all_mean,ari_all_std,ari_kept_mean,ari_kept_std,nmi_all_mean,nmi_all_std,nmi_kept_mean,nmi_kept_std,ami_all_mean,ami_all_std,ami_kept_mean,ami_kept_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std,v_measure_mean,v_measure_std
0.8901280462618754,0.0026123731186851267,1.0,0.0,0.0,0.0,0.8901280462618754,0.0026123731186851267,0.24880734965978202,0.011814944984735787,0.24880734965978202,0.011814944984735787,0.6564629955361702,0.002898732300186371,0.6564629955361702,0.002898732300186371,0.6493133658135142,0.0029346203430256537,0.6493133658135142,0.0029346203430256537,0.8961626923035821,0.0020241235004733998,0.5179329578246532,0.0030250085530450555,0.6564629955361702,0.002898732300186413
0.9072506231247164,0.0032676941693777304,0.7336224700536969,0.015133173305409522,0.2663775299463032,0.015133173305409541,0.6655927302767453,0.014683274145321862,0.24880734965978202,0.011814944984735787,0.2611119683936406,0.005890390527122795,0.6564629955361702,0.002898732300186371,0.6697320017810391,0.0028505303577932924,0.6493133658135142,0.0029346203430256537,0.6602583302405258,0.0029039479978775875,0.9101047676785006,0.0034333286961686486,0.5298064623591916,0.0028467854014632005,0.6697320017810389,0.002850530357793348
0.9995412186379926,3.9263265770985325e-05,1.0,0.0,0.0,0.0,0.9995412186379926,3.9263265770985325e-05,0.14308989830045124,0.0040756015885479715,0.14308989830045124,0.0040756015885479715,0.63342963035811,0.002017731591789089,0.63342963035811,0.002017731591789089,0.6312310890829351,0.0020196942241279144,0.6312310890829351,0.0020196942241279144,0.9986962015721854,0.0001557722024020396,0.4638010514504504,0.002174831788183532,0.63342963035811,0.002017731591789116
0.9994867540926344,0.00015138807589414635,0.6137491039426524,0.020563008589060797,0.38625089605734775,0.020563008589060693,0.6134336917562724,0.020536452141842017,0.13915200978839498,0.0026728247893528997,0.19344497076973807,0.021939096310651,0.6312585272496287,0.0011260251311764299,0.67313583032912,0.012884801119705405,0.6290577663409396,0.0011280084610493144,0.670448928609628,0.013001757041729095,0.9985629391968676,0.00034890883025349084,0.5077957106335252,0.014625817949477822,0.6731358303291202,0.012884801119705453
0.9995146782817417,3.862391737954388e-05,0.9450322580645162,0.013368108964145625,0.05496774193548387,0.013368108964145612,0.944573476702509,0.013349837552004832,0.13915200978839498,0.0026728247893528997,0.14459269412323114,0.0039498484904841695,0.6312585272496287,0.0011260251311764299,0.6365742827087022,0.002373888962822137,0.6290577663409396,0.0011280084610493144,0.6342957752838563,0.0023978361733906933,0.9986112035571034,0.00013584234476756422,0.46720022755101925,0.0025637722685449126,0.6365742827087021,0.0023738889628221412
0.9995412186379926,3.9263265770985325e-05,1.0,0.0,0.0,0.0,0.9995412186379926,3.9263265770985325e-05,0.1375863712465764,0.00299708577024445,0.1375863712465764,0.00299708577024445,0.6311890590419746,0.0010666992311968687,0.6311890590419746,0.0010666992311968687,0.6289877862853572,0.0010688500256488221,0.6289877862853572,0.0010688500256488221,0.9986014233388879,0.00014974892506036506,0.4614208533534184,0.001135639881705318,0.6311890590419746,0.001066699231196809
0.9995412186379926,3.9263265770985325e-05,1.0,0.0,0.0,0.0,0.9995412186379926,3.9263265770985325e-05,0.13915200978839498,0.0026728247893528997,0.13915200978839498,0.0026728247893528997,0.6312585272496287,0.0011260251311764299,0.6312585272496287,0.0011260251311764299,0.6290577663409396,0.0011280084610493144,0.6290577663409396,0.0011280084610493144,0.9986631435015031,0.00015076347666632785,0.4614819280518817,0.001179661382976508,0.6312585272496287,0.0011260251311763583
0.9998362733365983,6.448167853520199e-05,0.6137491039426524,0.020563008589060797,0.38625089605734775,0.020563008589060693,0.6136487455197133,0.020564770303205807,0.13915200978839498,0.0026728247893528997,0.1953166600769008,0.008545471850240289,0.6312585272496287,0.0011260251311764299,0.6691450755421549,0.004509067677945612,0.6290577663409396,0.0011280084610493144,0.66594410694117,0.004475377777117881,0.9994875617990724,0.0001741408358634663,0.5029364974800614,0.005078460301750605,0.6691450755421549,0.0045090676779455455
0.9905807855941425,0.0008777384037287709,1.0,0.0,0.0,0.0,0.9905807855941425,0.0008777384037287709,0.46635701643127436,0.018990033342017258,0.46635701643127436,0.018990033342017258,0.7977341523423946,0.008060546351127108,0.7977341523423946,0.008060546351127108,0.7964949231190314,0.008091598651414364,0.7964949231190314,0.008091598651414364,0.9864097043494334,0.00029975036618223855,0.6697074082736695,0.011245795004721426,0.7977341523423944,0.008060546351127133
0.9906972141553151,0.0024420343502975003,0.8261897694667063,0.05667732648715509,0.17381023053329375,0.056677326487155046,0.8184228752349856,0.054809093067005536,0.4476107391636005,0.03002617985277537,0.5278559005095976,0.015417860520751501,0.7921169024611906,0.010791998761518437,0.8148267440493493,0.006223985276073612,0.7908544935794057,0.010830262158746449,0.8135810242458751,0.006260216114189052,0.9863168920237463,0.002486994316329333,0.6941713340730281,0.008666856922109667,0.8148267440493493,0.006223985276073673
0.9909688697794232,0.0009463136646780039,0.9815870188977935,0.018140474906552927,0.018412981102206395,0.01814047490655295,0.9727119817947957,0.017312703947674382,0.4476107391636005,0.03002617985277537,0.45661472008113047,0.03130925202804811,0.7921169024611906,0.010791998761518437,0.7941379824979697,0.010695129510480272,0.7908544935794057,0.010830262158746449,0.7928689504159993,0.010753419450866872,0.9863457162218093,0.0010885460817525888,0.6647477192507221,0.01528179192863347,0.7941379824979696,0.01069512951048022
0.9901850202829723,0.0007943084727980832,1.0,0.0,0.0,0.0,0.9901850202829723,0.0007943084727980832,0.41984624191185416,0.04052132134176799,0.41984624191185416,0.04052132134176799,0.7836827233731983,0.01460831983373071,0.7836827233731983,0.01460831983373071,0.7823885330938521,0.014659761816992745,0.7823885330938521,0.014659761816992745,0.9860235028974687,0.0005377187860042972,0.6504512242537597,0.020155298500646665,0.7836827233731983,0.014608319833730867
