dataset,dataset_code,seed,method,umap_dim,n_clusters,acc_kept,coverage,rejection_rate,conservative_accuracy,ari_all,ari_kept,nmi_all,nmi_kept,ami_all,ami_kept,homogeneity,homogeneity_all,homogeneity_kept,completeness,completeness_all,completeness_kept,v_measure,v_measure_all,v_measure_kept,n_samples,n_kept,n_rejected,reduction,subset
PV-Fruit,F_new,44,any2,100,60,0.99947209653092,0.9505376344086022,0.04946236559139785,0.9500358422939068,0.1345299624231065,0.14345233161915286,0.6293827398926752,0.6364946893038683,0.6271782641818212,0.6342295110831493,0.9984708378883814,0.9985171768446854,0.9984708378883814,0.4671416027671876,0.4595099148443132,0.4671416027671876,0.6364946893038682,0.6293827398926753,0.6364946893038682,13950,13260,690,umap,exact_dedup_clean
PV-Fruit,F_new,44,kmeans,100,60,0.9994982078853046,1.0,0.0,0.9994982078853046,0.1345299624231065,0.1345299624231065,0.6293827398926752,0.6293827398926752,0.6271782641818212,0.6271782641818212,0.9985171768446854,0.9985171768446854,0.9985171768446854,0.4595099148443132,0.4595099148443132,0.4595099148443132,0.6293827398926753,0.6293827398926753,0.6293827398926753,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,44,birch,100,60,0.9994982078853046,1.0,0.0,0.9994982078853046,0.14067801274021838,0.14067801274021838,0.6321385758434296,0.6321385758434296,0.6299385664534275,0.6299385664534275,0.998435411605772,0.998435411605772,0.998435411605772,0.4624713311943004,0.4624713311943004,0.4624713311943004,0.6321385758434296,0.6321385758434296,0.6321385758434296,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,44,agg,100,60,0.9994982078853046,1.0,0.0,0.9994982078853046,0.1490175589992775,0.1490175589992775,0.6362544875433518,0.6362544875433518,0.6340584939113284,0.6340584939113284,0.9985184131738278,0.9985184131738278,0.9985184131738278,0.4668724770742927,0.4668724770742927,0.4668724770742927,0.6362544875433519,0.6362544875433519,0.6362544875433519,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,44,kmeans_distance_reject,100,60,0.999759961593855,0.5972759856630824,0.4027240143369176,0.5971326164874552,0.1345299624231065,0.19370715737631067,0.6293827398926752,0.668352965784653,0.6271782641818212,0.6650412542701918,0.9992882788849424,0.9985171768446854,0.9992882788849424,0.5020789654390729,0.4595099148443132,0.5020789654390729,0.6683529657846531,0.6293827398926753,0.6683529657846531,13950,8332,5618,umap,exact_dedup_clean
PV-Fruit,F_new,55,all3,100,60,0.9993942330991036,0.59168458781362,0.40831541218638,0.5913261648745519,0.13984434850445734,0.19866719861544355,0.6315634020637261,0.6780818571667975,0.6293632252280112,0.6754274904075817,0.9983566761255128,0.9987510136773784,0.9983566761255128,0.5133864552649845,0.4617883822402967,0.5133864552649845,0.6780818571667975,0.6315634020637261,0.6780818571667975,13950,8254,5696,umap,exact_dedup_clean
PV-Fruit,F_new,55,any2,100,60,0.9995518374663878,0.9597132616487455,0.04028673835125448,0.9592831541218638,0.13984434850445734,0.1441729272386452,0.6315634020637261,0.6356206268476984,0.6293632252280112,0.6333612232672605,0.9987117997970988,0.9987510136773784,0.9987117997970988,0.4661480646843865,0.4617883822402967,0.4661480646843865,0.6356206268476984,0.6315634020637261,0.6356206268476984,13950,13388,562,umap,exact_dedup_clean
PV-Fruit,F_new,55,kmeans,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.13984434850445734,0.13984434850445734,0.6315634020637261,0.6315634020637261,0.6293632252280112,0.6293632252280112,0.9987510136773784,0.9987510136773784,0.9987510136773784,0.4617883822402967,0.4617883822402967,0.4617883822402967,0.6315634020637261,0.6315634020637261,0.6315634020637261,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,55,birch,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.1406387291964429,0.1406387291964429,0.632191845288442,0.632191845288442,0.629992739756873,0.629992739756873,0.9987111300762632,0.9987111300762632,0.9987111300762632,0.4624692105880711,0.4624692105880711,0.4624692105880711,0.6321918452884419,0.6321918452884419,0.6321918452884419,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,55,agg,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.14169198629933194,0.14169198629933194,0.6330572722030076,0.6330572722030076,0.6308583159040246,0.6308583159040246,0.9988080494167568,0.9988080494167568,0.9988080494167568,0.4633751853553421,0.4633751853553421,0.4633751853553421,0.6330572722030076,0.6330572722030076,0.6330572722030076,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,55,kmeans_distance_reject,100,60,0.9998788466198208,0.59168458781362,0.40831541218638,0.5916129032258064,0.13984434850445734,0.20827826922187287,0.6315634020637261,0.6760859791174744,0.6293632252280112,0.6728403009946947,0.999604207801804,0.9987510136773784,0.999604207801804,0.5107753983496994,0.4617883822402967,0.5107753983496994,0.6760859791174743,0.6315634020637261,0.6760859791174743,13950,8254,5696,umap,exact_dedup_clean
PV-Vegetable,V_new,11,all3,100,60,0.9891936824605154,0.8331849213416445,0.1668150786583556,0.8241812605125161,0.4652154479052525,0.5484086359203643,0.7990715284839064,0.8218823497377561,0.7978337699906715,0.8206670790817414,0.984543553958008,0.9858762613443292,0.984543553958008,0.7053483380169467,0.6717817163760255,0.7053483380169467,0.8218823497377561,0.7990715284839064,0.8218823497377561,20214,16842,3372,umap,exact_dedup_clean
PV-Vegetable,V_new,11,any2,100,60,0.9904195240016136,0.9811022063916097,0.018897793608390227,0.971702780251311,0.4652154479052525,0.4867946152909726,0.7990715284839064,0.8034119298337031,0.7978337699906715,0.8021799669714105,0.9857161337231638,0.9858762613443292,0.9857161337231638,0.6780156781186032,0.6717817163760255,0.6780156781186032,0.803411929833703,0.7990715284839064,0.803411929833703,20214,19832,382,umap,exact_dedup_clean
PV-Vegetable,V_new,11,kmeans,100,60,0.9906005738597012,1.0,0.0,0.9906005738597012,0.4652154479052525,0.4652154479052525,0.7990715284839064,0.7990715284839064,0.7978337699906715,0.7978337699906715,0.9858762613443292,0.9858762613443292,0.9858762613443292,0.6717817163760255,0.6717817163760255,0.6717817163760255,0.7990715284839064,0.7990715284839064,0.7990715284839064,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,11,birch,100,60,0.989759572573464,1.0,0.0,0.989759572573464,0.4395864293478225,0.4395864293478225,0.7911211284244496,0.7911211284244496,0.7898509488738004,0.7898509488738004,0.9856030399778808,0.9856030399778808,0.9856030399778808,0.660741744188897,0.660741744188897,0.660741744188897,0.7911211284244497,0.7911211284244497,0.7911211284244497,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,11,agg,100,60,0.9908479271791828,1.0,0.0,0.9908479271791828,0.4801428697790053,0.4801428697790053,0.8038512857206357,0.8038512857206357,0.8026349045515909,0.8026349045515909,0.9861973110422876,0.9861973110422876,0.9861973110422876,0.6784138437880535,0.6784138437880535,0.6784138437880535,0.8038512857206357,0.8038512857206357,0.8038512857206357,20214,20214,0,umap,exact_dedup_clean
PV-Vegetable,V_new,11,kmeans_distance_reject,100,60,0.9952499703123144,0.8331849213416445,0.1668150786583556,0.8292272682299396,0.4652154479052525,0.5366549476982072,0.7990715284839064,0.8154832232820933,0.7978337699906715,0.8141235868946789,0.990897498293382,0.9858762613443292,0.990897498293382,0.6928338582751866,0.6717817163760255,0.6928338582751866,0.8154832232820933,0.7990715284839064,0.8154832232820933,20214,16842,3372,umap,exact_dedup_clean
PV-Vegetable,V_new,22,all3,100,60,0.9899123058405456,0.8631146729989116,0.13688532700108835,0.8544078361531612,0.4602804309489549,0.512499738921237,0.7959819952563734,0.8095940514440964,0.7947330282992724,0.8083274831214066,0.9856022890405952,0.9860959920853972,0.9856022890405952,0.686923656422958,0.667325275836912,0.686923656422958,0.8095940514440962,0.7959819952563733,0.8095940514440962,20214,17447,2767,umap,exact_dedup_clean
PV-Vegetable,V_new,22,any2,100,60,0.9906764530847054,0.9975264668051845,0.0024735331948154745,0.9882259819926784,0.4602804309489549,0.4623320598895618,0.7959819952563734,0.7964834945999467,0.7947330282992724,0.795234929851999,0.98607590152262,0.9860959920853972,0.98607590152262,0.668039764569426,0.667325275836912,0.668039764569426,0.7964834945999466,0.7959819952563733,0.7964834945999466,20214,20164,50,umap,exact_dedup_clean
PV-Vegetable,V_new,22,kmeans,100,60,0.9906995151874938,1.0,0.0,0.9906995151874938,0.4602804309489549,0.4602804309489549,0.7959819952563734,0.7959819952563734,0.7947330282992724,0.7947330282992724,0.9860959920853972,0.9860959920853972,0.9860959920853972,0.667325275836912,0.667325275836912,0.667325275836912,0.7959819952563733,0.7959819952563733,0.7959819952563733,20214,20214,0,umap,exact_dedup_clean
