calinski_harabasz,dataset,davies_bouldin,dim,k,method,reduction,seed,silhouette,subset
28511.729,V_new,0.5862122626089085,50,25,all3,umap,11,0.75775856,exact_dedup_clean
32751.486,V_new,0.5258937069328088,50,30,all3,umap,11,0.7746315,exact_dedup_clean
4432.7783,V_new,1.6311080247170047,100,4,all3,umap,11,0.3543799,exact_dedup_clean
5612.2734,V_new,1.2984855643777589,100,6,all3,umap,11,0.4801189,exact_dedup_clean
8146.9375,V_new,0.9144602448754888,100,8,all3,umap,11,0.60261834,exact_dedup_clean
11358.081,V_new,0.6382899649497183,100,10,all3,umap,11,0.6889132,exact_dedup_clean
16672.584,V_new,0.5522917625976224,100,12,all3,umap,11,0.7484323,exact_dedup_clean
23729.27,V_new,0.4499424337747173,100,15,all3,umap,11,0.80916095,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,all3,umap,11,0.7912705,exact_dedup_clean
21545.871,V_new,1.1481084426937669,100,25,all3,umap,11,0.709721,exact_dedup_clean
23490.84,V_new,0.6851143957966611,100,30,all3,umap,11,0.7039878,exact_dedup_clean
4521.893,V_new,1.590552911887575,200,4,all3,umap,11,0.35046786,exact_dedup_clean
5861.164,V_new,1.260473580893758,200,6,all3,umap,11,0.4791682,exact_dedup_clean
8149.527,V_new,0.9361164834585425,200,8,all3,umap,11,0.597778,exact_dedup_clean
11464.724,V_new,0.785498783893415,200,10,all3,umap,11,0.689082,exact_dedup_clean
16120.363,V_new,0.5838756743294381,200,12,all3,umap,11,0.74182636,exact_dedup_clean
22279.383,V_new,0.48444804648884426,200,15,all3,umap,11,0.8019657,exact_dedup_clean
20621.42,V_new,1.1499570991028996,200,20,all3,umap,11,0.7981944,exact_dedup_clean
20713.271,V_new,0.6581316239331205,200,25,all3,umap,11,0.7967685,exact_dedup_clean
21146.361,V_new,0.8623115498031816,200,30,all3,umap,11,0.8040814,exact_dedup_clean
11847.189,V_new,0.6246508295778056,50,10,all3,umap,11,0.6953203,exact_dedup_clean
12172.707,V_new,0.6068589460152942,50,10,all3,umap,22,0.700478,exact_dedup_clean
13000.032,V_new,0.6301391260054096,50,10,all3,umap,33,0.6940199,exact_dedup_clean
13895.247,V_new,0.5909017232993132,50,10,all3,umap,44,0.7102881,exact_dedup_clean
12058.931,V_new,0.6420345136479126,50,10,all3,umap,55,0.70055664,exact_dedup_clean
28381.965,V_new,1.0991771182556176,50,20,all3,umap,11,0.8144845,exact_dedup_clean
27719.436,V_new,1.1340483463119766,50,20,all3,umap,22,0.799884,exact_dedup_clean
32683.814,V_new,1.0946606648414534,50,20,all3,umap,33,0.8071284,exact_dedup_clean
36832.93,V_new,0.6134788235256942,50,20,all3,umap,44,0.80471295,exact_dedup_clean
25683.736,V_new,1.0671569541896384,50,20,all3,umap,55,0.7901224,exact_dedup_clean
23729.27,V_new,0.4499424337747173,100,15,all3,umap,11,0.80916095,exact_dedup_clean
23241.762,V_new,0.4567104440842563,100,15,all3,umap,22,0.8069152,exact_dedup_clean
28406.992,V_new,0.4415595966935651,100,15,all3,umap,33,0.81072545,exact_dedup_clean
29711.225,V_new,0.3444523185062945,100,15,all3,umap,44,0.82094485,exact_dedup_clean
21733.502,V_new,0.4793825511031648,100,15,all3,umap,55,0.8040075,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,all3,umap,11,0.7912705,exact_dedup_clean
21830.83,V_new,1.129909094278119,100,20,all3,umap,22,0.8065413,exact_dedup_clean
27937.846,V_new,1.1890812511236892,100,20,all3,umap,33,0.80071205,exact_dedup_clean
28520.83,V_new,0.6657030087851423,100,20,all3,umap,44,0.8141326,exact_dedup_clean
20868.783,V_new,1.2210368782859766,100,20,all3,umap,55,0.8202227,exact_dedup_clean
23490.84,V_new,0.6851143957966611,100,30,all3,umap,11,0.7039878,exact_dedup_clean
22673.883,V_new,0.9546021709232158,100,30,all3,umap,22,0.7962477,exact_dedup_clean
32611.268,V_new,0.5030118332225118,100,30,all3,umap,33,0.70198876,exact_dedup_clean
